Kingdom	Phylum	Class	Order	Family	Genus	SP.Fe.Su.a.1	SP.Fe.Su.a.2	SP.Fe.Su.B.1	SP.Fe.Su.B.2	SP.Fe.Su.C.1	SP.Fe.Su.C.2	SP.Fe.Su.Ch.1	SP.Fe.Su.Ch.2	SP.Fe.Su.Li.1	SP.Fe.Su.Li.2	SP.Fe.Su.m.1	SP.Fe.Su.m.2	SP.Fe.Su.NC.1	SP.Fe.Su.NC.2	SP.Fe.Su.P.1	SP.Fe.Su.P.2	SP.S.Su.a.1	SP.S.Su.a.2	SP.S.Su.B.1	SP.S.Su.B.2	SP.S.Su.C.1	SP.S.Su.C.2	SP.S.Su.Ch.1	SP.S.Su.Ch.2	SP.S.Su.Li.1	SP.S.Su.Li.2	SP.S.Su.m.1	SP.S.Su.m.2	SP.S.Su.NC.1	SP.S.Su.NC.2	SP.S.Su.P.1	SP.S.Su.P.2	SP.SO4.Su.a.1	SP.SO4.Su.a.2	SP.SO4.Su.B.1	SP.SO4.Su.B.2	SP.SO4.Su.C.1	SP.SO4.Su.C.2	SP.SO4.Su.Ch.1	SP.SO4.Su.Ch.2	SP.SO4.Su.Li.1	SP.SO4.Su.Li.2	SP.SO4.Su.m.1	SP.SO4.Su.m.2	SP.SO4.Su.NC.1	SP.SO4.Su.NC.2	SP.SO4.Su.P.1	SP.SO4.Su.P.2
Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonadaceae_unclass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacterales_SRB2	Thermoanaerobacterales_SRB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonadaceae_unclass	32	28	0	16	0	0	0	3	0	3	45	14	0	0	14	26	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	17	23	0	0
Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	Halobacteroidaceae_unclass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	629	5143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales	Methanomicrobiales_unclass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanolobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	39	0	0	0	0	0	0	0	0	60	55	0	0	170	38	13	37	31	0	0	0	0	0	0	0	81	35	53	33	8	12
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanomethylovorans	9	6	0	0	0	0	0	0	0	0	146	20	21	115	0	0	7	11	0	0	0	0	0	0	15	7	0	0	9	2	0	0	0	5	0	4	0	0	0	3	26	9	13	0	9	27	0	0
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina	0	0	0	7	0	0	0	0	17	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Latescibacteraceae	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0	0	10	6	0	0	0
Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	10	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	11	10	0	0
