Kingdom	Phylum	Class	Order	Family	Genus	CR2	CR4	CR13	CR3	CR1	CR11	CR5	CR12	CR8	CR9	CR10	CR6	CR7
Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiellaceae_MSBL3	12	16	75	20	11	10	9	15	6	8	6	3	54
Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Oligosphaerales_Lenti02	Oligosphaerales_Lenti02	58	109	197	100	60	128	67	75	94	134	75	40	200
Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallales_PRD18	Victivallales_PRD18	151	345	1132	349	263	364	117	120	20	25	19	18	171
Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallaceae	1	18	16	19	7	21	31	40	16	113	83	28	24
Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallales_GWF2	Victivallales_GWF2	1	5	0	5	0	4	10	17	15	52	25	13	0
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Cand__Omnitrophus	82	783	761	955	130	1231	1256	1560	1323	996	547	770	2458
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophales	Omnitrophales	0	2	19	2	0	2	0	0	2	1	1	4	27
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_unclass	6	14	26	19	11	11	52	48	51	71	35	38	113
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacteraceae_LD29	4	6	0	4	5	3	5	14	28	64	75	13	103
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	25	8	102	10	20	15	11	12	25	92	137	14	87
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	15	5	1	8	11	9	14	12	9	24	7	2	0
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	412	171	820	275	338	279	158	219	147	2201	1768	84	214
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilaceae_unclass	3	5	103	5	1	6	0	8	8	9	2	5	60
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_unclass	9	18	27	38	7	29	52	63	32	61	15	47	196
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiae_B29	Verrucomicrobiae_B29	Verrucomicrobiae_B29	2	2	27	1	2	5	1	6	1	1	0	2	4
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiae_LD1PB3	Verrucomicrobiae_LD1PB3	Verrucomicrobiae_LD1PB3	6	28	81	23	2	34	31	26	27	22	17	18	51
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiae_SBQ257	Verrucomicrobiae_SBQ257	Verrucomicrobiae_SBQ257	1	6	0	10	0	4	10	16	17	17	9	10	237
Bacteria	Verrucomicrobiota	Verrucomicrobiota_unclass	Verrucomicrobiota_unclass	Verrucomicrobiota_unclass	Verrucomicrobiota_unclass	0	3	0	2	0	3	12	13	19	7	19	6	58
